PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
510,0,0,0,15.29,34.3,0,0,0,0
511,0,0,0,14.4,34.76,0,0,0,0
512,0,0,0,13.53,35.26,0,0,0,0
513,0,0,0,12.68,35.79,0,0,0,0
514,0,0,0,11.87,36.37,0,0,0,0
515,0,0,0,11.09,37,0,0,0,0
516,0,0,0,10.34,37.67,0,0,0,0
517,0,0,0,9.65,38.38,0,0,0,0
518,0,0,0,9,39.14,0,0,0,0
519,0,0,0,8.4,39.95,0,0,0,0
520,0,0,0,7.87,40.79,0,0,0,0
521,0,0,0,7.4,41.68,0,0,0,0
522,0,0,0,7,42.59,0,0,0,0
523,0,0,0,6.68,43.54,0,0,0,0
524,0,0,0,6.43,44.51,0,0,0,0
525,0,0,0,6.26,45.49,0,0,0,0
526,0,0,0,6.16,46.49,0,0,0,0
527,0,0,0,6.16,47.49,0,0,0,0
528,0,0,0,6.17,47.69,0,0,0,0
529,0,0,0,7.07,74.17,0,0,0,0
530,0,0,0,2.58,29.48,0,0,0,0
531,0,0,0,2.16,12.84,0,0,0,0
532,0,0,0,2.25,11.9,0,0,0,0
533,0,0,0,2.41,10.91,0,0,0,0
534,0,0,0,2.59,9.93,0,0,0,0
535,0,0,0,2.79,8.95,0,0,0,0
536,0,0,0,3.05,7.98,0,0,0,0
537,0,0,0,3.37,7.03,0,0,0,0
538,0,0,0,3.77,6.12,0,0,0,0
539,0,0,0,4.25,5.24,0,0,0,0
540,0,0,0,4.81,4.41,0,0,0,0
541,0,0,0,5.46,3.65,0,0,0,0
542,0,0,0,6.18,2.96,0,0,0,0
543,0,0,0,6.97,2.34,0,0,0,0
544,0,0,0,7.81,1.8,0,0,0,0
545,0,0,0,8.69,1.34,0,0,0,0
546,0,0,0,9.61,0.94,0,0,0,0
547,0,0,0,10.56,0.61,0,0,0,0
548,0,0,0,11.52,0.34,0,0,0,0
549,0,0,0,12.49,0.11,0,0,0,0
550,0,0,0,13.48,-0.06,0,0,0,0
551,0,0,0,13.84,-0.12,0,0,0,0
552,0,0,0,46.5,-1.59,0,0,0,0
553,0,0,0,47.49,-1.47,0,0,0,0
554,0,0,0,48.46,-1.19,0,0,0,0
555,0,0,0,49.37,-0.78,0,0,0,0
556,0,0,0,50.2,-0.22,0,0,0,0
557,0,0,0,50.92,0.47,0,0,0,0
558,0,0,0,51.49,1.29,0,0,0,0
559,0,0,0,51.92,2.19,0,0,0,0
