DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
377,207.92,380,0,0,0,0,0,0,0
378,208.92,381,0,0,0,0,0,0,0
379,209.92,382,0,0,0,0,0,0,0
380,210.92,383,0,0,0,0,0,0,0
381,211.92,384,0,0,0,0,0,0,0
382,212.92,385,0,0,0,0,0,0,0
383,213.92,386,0,0,0,0,0,0,0
384,214.41,387,0,0,0,0,0,0,0
385,214.82,388,0,0,0,0,0,0,0
386,215.82,389,0,0,0,0,0,0,0
387,216.82,390,0,0,0,0,0,0,0
388,217.82,391,0,0,0,0,0,0,0
389,218.82,392,0,0,0,0,0,0,0
390,219.82,393,0,0,0,0,0,0,0
391,220.82,394,0,0,0,0,0,0,0
392,221.82,395,0,0,0,0,0,0,0
393,222.82,396,0,0,0,0,0,0,0
394,223.82,397,0,0,0,0,0,0,0
395,224.82,398,0,0,0,0,0,0,0
396,225.82,399,0,0,0,0,0,0,0
397,226.82,400,0,0,0,0,0,0,0
